Image ID,Description
1,"This is a red apple. A fruit. Rich in dietary fiber, vitamin C, and various antioxidants. Apples are low in calories and contain no fat, sodium, or cholesterol."
2,"This is a half open banana. A fruit. High in potassium, vitamin B6, vitamin C, and dietary fiber. Bananas are also a good source of energy due to their carbohydrate content."
3,"This is yellow bell pepper. Bell peppers are botanically classified as fruits. This is because they develop from the flower of the plant and contain seeds. However, in culinary terms, bell peppers are commonly treated and referred to as vegetables due to their savory flavor and use in cooking. Rich in vitamin C, vitamin A, and dietary fiber. Bell peppers are also low in calories and contain various antioxidants."
4,It is a vegetable basket.
5,"It's  a tomato. Tomatoes are also botanically classified as fruits because they develop from the flower of the tomato plant and contain seeds. However, like bell peppers, tomatoes are commonly treated as vegetables in culinary contexts due to their savory flavor and use in a wide variety of dishes.A  High in vitamin C, potassium, folate, and vitamin K. Tomatoes also contain the antioxidant lycopene, which has been linked to many health benefits."
6,"It's a potato. A vegetable. Rich in carbohydrates, vitamin C, vitamin B6, and potassium. Potatoes are also a good source of dietary fiber, especially when eaten with the skin."
7,"It's a pumpkin. Pumpkins are botanically classified as fruits because they develop from the flowering part of the pumpkin vine and contain seeds. However, in culinary terms, pumpkins are often treated as vegetables due to their versatile use in cooking, particularly in savory dishes such as soups, stews, and pies. So, while they are fruits from a botanical perspective, they are typically referred to and used as vegetables in culinary contexts. High in vitamin A, vitamin C, potassium, and dietary fiber. Pumpkins are also low in calories and contain antioxidants like beta-carotene."
8,"These are purple grapes. High in vitamins C and K, and contain various antioxidants, including resveratrol. Grapes are also a good source of hydration due to their high water content."
9,"It's red bell pepper. Bell peppers are botanically classified as fruits. This is because they develop from the flower of the plant and contain seeds. However, in culinary terms, bell peppers are commonly treated and referred to as vegetables due to their savory flavor and use in cooking.. Very high in vitamin C and vitamin A. Red bell peppers also provide a good amount of dietary fiber and antioxidants."
10,"It's red chilli. Rich in vitamin C, vitamin A, and capsaicin, which has metabolism-boosting properties. Red chilies also contain antioxidants."
11,"These are red grapes. A fruit. High in vitamins C and K, and contain various antioxidants, including resveratrol. Grapes are also a good source of hydration due to their high water content."
12,This is red reddish. A vegetabe. Low in calories and high in vitamin C and potassium. Radishes also provide fiber and antioxidants.
13,"These are two pears. A fruit. High in dietary fiber, vitamin C, and potassium. Pears are also low in calories and contain antioxidants."
14,"This is a pear. A fruit. High in dietary fiber, vitamin C, and potassium. Pears are also low in calories and contain antioxidants."
15,"This is an unpeeled orange. A fruit. Very high in vitamin C and also provides dietary fiber, folate, and antioxidants. Oranges are low in calories and hydrating due to their high water content."
16,"This is an orange slice. A fruit. Very high in vitamin C and also provides dietary fiber, folate, and antioxidants. Oranges are low in calories and hydrating due to their high water content."
17,"This is peeled kiwi slice. A fruit. High in vitamin C, vitamin K, and vitamin E. Kiwi also provides dietary fiber and antioxidants."
18,"This is a full kiwi with a kiwi slice along with it. A fruit. High in vitamin C, vitamin K, and vitamin E. Kiwi also provides dietary fiber and antioxidants."
19,"This is an orange with an an orange slice along with it. A fruit. Very high in vitamin C and also provides dietary fiber, folate, and antioxidants. Oranges are low in calories and hydrating due to their high water content."
20,"This is an eggplant. A vegetable. Low in calories and high in dietary fiber. Eggplants also provide vitamin C, vitamin K, and various antioxidants, including nasunin."
21,"This is an eggplant. Along with it is a half cut eggplant shown. Eggplant is a vegetable low in calories and high in dietary fiber. Eggplants also provide vitamin C, vitamin K, and various antioxidants, including nasunin."
22,This is a dice. Playing tool.
23,"This is a carrot. A vegetable. Very high in vitamin A (from beta-carotene), and also provides dietary fiber, vitamin K, and potassium. Carrots are low in calories."
24,This is a red feather. 
25,This is a blue feather.
26,This image represents brain in the filed of artificial intelligence.
27,This is a duck. An animal.
28,This is a green octopus. An animal.
29,This is a blue octopus. An animal.
30,This is an elephant. An animal.
